mal_id,title,title_english,release_year,score,episodes,duration,favorites,type,status,genres,source,season,studios,themes,rank,rating
447.0,Weiß Kreuz,Knight Hunters,1998,6.463333333333334,25.0,23 min per ep,20556.0,TV,FINISHED,"Action, Drama",Original,spring,"Plum, Magic Bus","",6633.0,PG-13 - Teens 13 or older
450.0,InuYasha Movie 2: Kagami no Naka no Mugenjou,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.580000000000001,1.0,1 hr 39 min,111384.0,Movie,FINISHED,"Action, Adventure, Fantasy, Romance",Manga,FALL,Sunrise,"Historical, Mythology, Time Travel",1497.0,PG-13 - Teens 13 or older
452.0,InuYasha Movie 1: Toki wo Koeru Omoi,InuYasha the Movie: Affections Touching Across Time,2001,7.476666666666667,1.0,1 hr 39 min,109854.0,Movie,FINISHED,"Action, Adventure, Fantasy, Romance",Manga,FALL,Sunrise,"Historical, Mythology, Time Travel",1856.0,PG-13 - Teens 13 or older
458.0,Buttobi!! CPU,I Dream of Mimi,1997,6.176666666666667,3.0,27 min per ep,12707.0,OVA,FINISHED,"Comedy, Sci-Fi, Ecchi",Manga,SPRING,OLM,"",9155.0,R+ - Mild Nudity
462.0,One Piece Movie 04: Dead End no Bouken,One Piece: Dead End Adventure,2003,7.413333333333334,1.0,1 hr 35 min,115657.0,Movie,FINISHED,"Action, Adventure, Fantasy",Manga,SPRING,Toei Animation,"",2116.0,PG-13 - Teens 13 or older
470.0,Okusama wa Joshikousei (TV),My Wife is a High School Girl,2005,6.1433333333333335,13.0,24 min per ep,31464.0,TV,FINISHED,"Comedy, Romance, Ecchi",Manga,summer,Madhouse,School,8912.0,PG-13 - Teens 13 or older
474.0,Macross Plus,Macross Plus,1994,7.646666666666667,4.0,39 min per ep,55963.0,OVA,FINISHED,"Drama, Romance, Sci-Fi",Original,SUMMER,Triangle Staff,"Adult Cast, Mecha, Military, Space",1333.0,R - 17+ (violence & profanity)
483.0,Kurau Phantom Memory,Kurau Phantom Memory,2004,7.13,24.0,23 min per ep,34464.0,TV,FINISHED,"Action, Drama, Sci-Fi",Original,summer,Bones,"Space, Super Power",3094.0,PG-13 - Teens 13 or older
487.0,Girls Bravo: Second Season,Girls Bravo: Second Season,2005,6.403333333333333,13.0,23 min per ep,97075.0,TV,FINISHED,"Comedy, Fantasy, Romance, Ecchi",Manga,winter,AIC Spirits,"Harem, Isekai, School",7225.0,R+ - Mild Nudity
499.0,Makai Toshi Shinjuku,Demon City Shinjuku,1988,6.05,1.0,1 hr 19 min,30643.0,OVA,FINISHED,"Adventure, Horror, Romance, Supernatural",Novel,FALL,Madhouse,Gore,9683.0,R - 17+ (violence & profanity)
505.0,Fushigiboshi no☆Futagohime,Twin Princesses of the Wonder Planet,2005,7.29,51.0,24 min per ep,14211.0,TV,FINISHED,Comedy,Original,spring,HAL Film Maker,Mahou Shoujo,2536.0,G - All Ages
506.0,Glass no Kamen,Glass Mask,1984,7.239999999999999,23.0,24 min per ep,10652.0,TV,FINISHED,"Drama, Romance",Manga,spring,Eiken,"Performing Arts, Showbiz",2718.0,PG-13 - Teens 13 or older
507.0,Gravitation: Lyrics of Love,Gravitation: Lyrics of Love,1999,6.66,2.0,26 min per ep,34480.0,OVA,FINISHED,"Boys Love, Comedy",Manga,SUMMER,Plum,"Adult Cast, Music, Showbiz",5453.0,R - 17+ (violence & profanity)
512.0,Majo no Takkyuubin,Kiki's Delivery Service,1989,8.186666666666667,1.0,1 hr 43 min,659880.0,Movie,FINISHED,"Adventure, Award Winning, Comedy, Drama, Fantasy",Novel,SUMMER,Studio Ghibli,"",385.0,G - All Ages
517.0,School Rumble: Ichi Gakki Hoshuu,School Rumble: Extra Class,2005,7.57,2.0,25 min per ep,62286.0,OVA,FINISHED,"Comedy, Romance",Manga,WINTER,Studio Comet,School,1422.0,PG-13 - Teens 13 or older
520.0,Marmalade Boy Movie,UNKNOWN,1995,7.1000000000000005,1.0,26 min,12238.0,Movie,FINISHED,Romance,Manga,SPRING,Toei Animation,"",3097.0,PG-13 - Teens 13 or older
531.0,Bishoujo Senshi Sailor Moon R: The Movie,Sailor Moon R: The Movie - The Promise of the Rose,1993,7.616666666666667,1.0,1 hr,72342.0,Movie,FINISHED,"Drama, Romance",Manga,FALL,Toei Animation,Mahou Shoujo,1292.0,PG-13 - Teens 13 or older
539.0,Tenchi Muyou! Ryououki,Tenchi Muyo! Ryo-Ohki,1992,7.476666666666667,6.0,29 min per ep,58551.0,OVA,FINISHED,"Action, Comedy, Sci-Fi",Original,FALL,AIC,Space,1687.0,R+ - Mild Nudity
